,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5,year
0,Columbus TigersPanhandles,0,8,0,0.0,24.0,174.0,-150.0,0 - 1 - 0,0 - 7 - 0,- -,,- -,,- -,8L,0 - 5 - 0,1922
1,Evansville Crimson GiantsCrimson Giants,0,3,0,0.0,6.0,88.0,-82.0,0 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1922
2,Hammond ProsHammond Pros,0,5,1,0.0,0.0,69.0,-69.0,0 - 0 - 0,0 - 5 - 1,- -,,- -,,- -,2L,0 - 4 - 1,1922
3,Rochester JeffersonsJeffersons,0,4,1,0.0,13.0,76.0,-63.0,0 - 1 - 0,0 - 3 - 1,- -,,- -,,- -,4L,0 - 4 - 1,1922
4,Louisville ColonelsBrecks,1,3,0,0.25,13.0,140.0,-127.0,1 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,1W,1 - 3 - 0,1922
5,Minneapolis Red JacketsMarines,1,3,0,0.25,19.0,40.0,-21.0,1 - 0 - 0,0 - 3 - 0,- -,,- -,,- -,1L,1 - 3 - 0,1922
6,Milwaukee BadgersBadgers,2,4,3,0.333,51.0,71.0,-20.0,2 - 0 - 2,0 - 4 - 1,- -,,- -,,- -,3L,1 - 3 - 1,1922
7,Akron IndiansAkron Pros,3,5,2,0.375,146.0,95.0,51.0,3 - 1 - 1,0 - 4 - 1,- -,,- -,,- -,3L,0 - 4 - 1,1922
8,Oorang IndiansIndians,3,6,0,0.333,69.0,190.0,-121.0,1 - 0 - 0,2 - 6 - 0,- -,,- -,,- -,2W,2 - 3 - 0,1922
9,Dayton TrianglesTriangles,4,3,1,0.571,80.0,62.0,18.0,3 - 1 - 1,1 - 2 - 0,- -,,- -,,- -,1W,2 - 3 - 0,1922
10,Green Bay PackersPackers,4,3,3,0.571,70.0,54.0,16.0,3 - 1 - 1,1 - 2 - 2,- -,,- -,,- -,2W,4 - 0 - 1,1922
11,Rock Island IndependentsIndependents,4,2,1,0.667,154.0,27.0,127.0,4 - 1 - 0,0 - 1 - 1,- -,,- -,,- -,1L,3 - 1 - 1,1922
12,Buffalo BisonsAll-Americans,5,4,1,0.556,87.0,41.0,46.0,3 - 1 - 1,2 - 3 - 0,- -,,- -,,- -,2W,2 - 2 - 1,1922
13,Kenosha MaroonsMaroons,5,2,2,0.714,94.0,59.0,35.0,4 - 1 - 1,1 - 1 - 1,- -,,- -,,- -,2L,2 - 2 - 1,1922
14,Racine TornadoesLegion,6,4,1,0.6,122.0,56.0,66.0,5 - 3 - 1,1 - 1 - 0,- -,,- -,,- -,1L,3 - 1 - 1,1922
15,Arizona CardinalsCardinals,8,3,0,0.727,96.0,50.0,46.0,8 - 2 - 0,0 - 1 - 0,- -,,- -,,- -,1W,2 - 3 - 0,1922
16,Chicago BearsBears,9,3,0,0.75,123.0,44.0,79.0,7 - 1 - 0,2 - 2 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1922
17,Canton BulldogsBulldogs,10,0,2,1.0,184.0,15.0,169.0,6 - 0 - 1,4 - 0 - 1,- -,,- -,,- -,6W,5 - 0 - 0,1922
0,Louisville ColonelsBrecks,0,3,0,0.0,0.0,90.0,-90.0,0 - 1 - 0,0 - 2 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1923
1,Rochester JeffersonsJeffersons,0,4,0,0.0,6.0,141.0,-135.0,0 - 2 - 0,0 - 2 - 0,- -,,- -,,- -,4L,0 - 4 - 0,1923
2,Akron IndiansAkron Pros,1,6,0,0.143,25.0,74.0,-49.0,1 - 0 - 0,0 - 6 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1923
3,Dayton TrianglesTriangles,1,6,1,0.143,16.0,95.0,-79.0,1 - 0 - 0,0 - 6 - 1,- -,,- -,,- -,2L,0 - 4 - 1,1923
4,Hammond ProsHammond Pros,1,5,1,0.167,14.0,59.0,-45.0,1 - 0 - 0,0 - 5 - 1,- -,,- -,,- -,4L,0 - 4 - 1,1923
5,Oorang IndiansOorang Indians,1,10,0,0.091,50.0,257.0,-207.0,0 - 0 - 0,1 - 10 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1923
6,St. Louis All-StarsAll-Stars,1,4,2,0.2,14.0,39.0,-25.0,1 - 2 - 1,0 - 2 - 1,- -,,- -,,- -,1L,1 - 4 - 0,1923
7,Minneapolis Red JacketsMarines,2,5,2,0.286,48.0,81.0,-33.0,2 - 1 - 1,0 - 4 - 1,- -,,- -,,- -,1L,1 - 2 - 2,1923
8,Rock Island IndependentsIndependents,2,3,3,0.4,84.0,62.0,22.0,2 - 1 - 2,0 - 2 - 1,- -,,- -,,- -,1L,0 - 3 - 2,1923
9,Cleveland BulldogsIndians,3,1,3,0.75,52.0,49.0,3.0,3 - 1 - 1,0 - 0 - 2,- -,,- -,,- -,1L,2 - 1 - 2,1923
10,Kenosha MaroonsMaroons,3,3,2,0.5,35.0,66.0,-31.0,2 - 1 - 0,1 - 2 - 2,- -,,- -,,- -,1L,1 - 3 - 1,1923
11,Newark TornadoesKelleys,4,3,0,0.571,35.0,33.0,2.0,3 - 0 - 0,1 - 3 - 0,- -,,- -,,- -,3L,2 - 3 - 0,1923
12,Racine TornadoesLegion,4,4,2,0.5,86.0,76.0,10.0,2 - 3 - 1,2 - 1 - 1,- -,,- -,,- -,1W,2 - 3 - 0,1923
13,Buffalo BisonsAll-Americans,5,4,3,0.556,94.0,43.0,51.0,3 - 0 - 3,2 - 4 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1923
14,Columbus TigersTigers,5,4,1,0.556,119.0,35.0,84.0,4 - 2 - 0,1 - 2 - 1,- -,,- -,,- -,1L,3 - 2 - 0,1923
15,Green Bay PackersPackers,7,2,1,0.778,85.0,34.0,51.0,4 - 2 - 1,3 - 0 - 0,- -,,- -,,- -,5W,5 - 0 - 0,1923
16,Milwaukee BadgersBadgers,7,2,3,0.778,100.0,49.0,51.0,3 - 1 - 2,4 - 1 - 1,- -,,- -,,- -,1W,3 - 1 - 1,1923
17,Arizona CardinalsCardinals,8,4,0,0.667,161.0,56.0,105.0,8 - 3 - 0,0 - 1 - 0,- -,,- -,,- -,1L,2 - 3 - 0,1923
18,Chicago BearsBears,9,2,1,0.818,123.0,35.0,88.0,7 - 1 - 1,2 - 1 - 0,- -,,- -,,- -,1W,4 - 0 - 1,1923
19,Canton BulldogsBulldogs,11,0,1,1.0,246.0,19.0,227.0,7 - 0 - 0,4 - 0 - 1,- -,,- -,,- -,5W,5 - 0 - 0,1923
0,Kenosha MaroonsMaroons,0,4,1,0.0,12.0,117.0,-105.0,0 - 0 - 1,0 - 4 - 0,- -,,- -,,- -,2L,0 - 4 - 1,1924
1,Minneapolis Red JacketsMarines,0,6,0,0.0,14.0,108.0,-94.0,0 - 1 - 0,0 - 5 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1924
2,Rochester JeffersonsJeffersons,0,7,0,0.0,7.0,156.0,-149.0,0 - 3 - 0,0 - 4 - 0,- -,,- -,,- -,7L,0 - 5 - 0,1924
3,Akron IndiansAkron Pros,2,6,0,0.25,59.0,132.0,-73.0,1 - 1 - 0,1 - 5 - 0,- -,,- -,,- -,1W,1 - 4 - 0,1924
4,Dayton TrianglesTriangles,2,6,0,0.25,45.0,148.0,-103.0,1 - 1 - 0,1 - 5 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1924
5,Hammond ProsHammond Pros,2,2,1,0.5,18.0,45.0,-27.0,0 - 0 - 0,2 - 2 - 1,- -,,- -,,- -,2W,2 - 2 - 1,1924
6,Kansas City CowboysBlues,2,7,0,0.222,46.0,124.0,-78.0,2 - 2 - 0,0 - 5 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1924
7,Columbus TigersTigers,4,4,0,0.5,91.0,68.0,23.0,2 - 0 - 0,2 - 4 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1924
8,Racine TornadoesLegion,4,3,3,0.571,69.0,47.0,22.0,3 - 1 - 0,1 - 2 - 3,- -,,- -,,- -,1W,1 - 2 - 2,1924
9,Arizona CardinalsCardinals,5,4,1,0.556,90.0,67.0,23.0,5 - 3 - 1,0 - 1 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1924
10,Milwaukee BadgersBadgers,5,8,0,0.385,142.0,188.0,-46.0,3 - 2 - 0,2 - 6 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1924
11,Newark TornadoesKelleys,5,1,0,0.833,56.0,16.0,40.0,3 - 0 - 0,2 - 1 - 0,- -,,- -,,- -,1W,4 - 1 - 0,1924
12,Rock Island IndependentsIndependents,5,2,2,0.714,88.0,38.0,50.0,4 - 1 - 1,1 - 1 - 1,- -,,- -,,- -,1L,2 - 2 - 1,1924
13,Buffalo BisonsBisons,6,5,0,0.545,120.0,140.0,-20.0,5 - 3 - 0,1 - 2 - 0,- -,,- -,,- -,3L,2 - 3 - 0,1924
14,Chicago BearsBears,6,1,4,0.857,136.0,55.0,81.0,5 - 0 - 3,1 - 1 - 1,- -,,- -,,- -,3W,4 - 0 - 1,1924
15,Cleveland BulldogsBulldogs,7,1,1,0.875,229.0,60.0,169.0,6 - 1 - 0,1 - 0 - 1,- -,,- -,,- -,2W,4 - 1 - 0,1924
16,Green Bay PackersPackers,7,4,0,0.636,108.0,38.0,70.0,5 - 0 - 0,2 - 4 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1924
17,Frankford Yellow JacketsYellow Jackets,11,2,1,0.846,326.0,109.0,217.0,9 - 0 - 1,2 - 2 - 0,- -,,- -,,- -,8W,5 - 0 - 0,1924
0,Columbus TigersTigers,0,9,0,0.0,28.0,124.0,-96.0,0 - 0 - 0,0 - 9 - 0,- -,,- -,,- -,9L,0 - 5 - 0,1925
1,Dayton TrianglesTriangles,0,7,1,0.0,3.0,84.0,-81.0,0 - 0 - 0,0 - 7 - 1,- -,,- -,,- -,7L,0 - 5 - 0,1925
2,Milwaukee BadgersBadgers,0,5,0,0.0,7.0,132.0,-125.0,0 - 1 - 0,0 - 4 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1925
3,Newark TornadoesKelleys,0,3,0,0.0,6.0,25.0,-19.0,0 - 2 - 0,0 - 1 - 0,- -,,- -,,- -,3L,0 - 3 - 0,1925
4,Rochester JeffersonsJeffersons,0,6,1,0.0,26.0,111.0,-85.0,0 - 0 - 0,0 - 6 - 1,- -,,- -,,- -,5L,0 - 5 - 0,1925
5,Buffalo BisonsBisons,1,6,2,0.143,33.0,113.0,-80.0,1 - 1 - 2,0 - 5 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1925
6,Hammond ProsPros,1,3,0,0.25,23.0,74.0,-51.0,0 - 0 - 0,1 - 3 - 0,- -,,- -,,- -,2L,1 - 3 - 0,1925
7,Kansas City CowboysCowboys,2,5,1,0.286,65.0,97.0,-32.0,0 - 0 - 0,2 - 5 - 1,- -,,- -,,- -,1W,1 - 3 - 1,1925
8,Akron IndiansIndians,4,2,2,0.667,65.0,51.0,14.0,3 - 0 - 0,1 - 2 - 2,- -,,- -,,- -,2L,2 - 2 - 1,1925
9,Canton BulldogsCanton Bulldogs,4,4,0,0.5,50.0,73.0,-23.0,4 - 1 - 0,0 - 3 - 0,- -,,- -,,- -,1L,2 - 3 - 0,1925
10,Cleveland BulldogsCleveland Bulldogs,4,7,1,0.364,65.0,122.0,-57.0,3 - 1 - 0,1 - 6 - 1,- -,,- -,,- -,1W,2 - 2 - 1,1925
11,Providence Steam RollerSteam Roller,5,4,1,0.556,96.0,81.0,15.0,4 - 2 - 1,1 - 2 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1925
12,Rock Island IndependentsIndependents,5,3,3,0.625,99.0,58.0,41.0,3 - 0 - 3,2 - 3 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1925
13,Detroit PanthersPanthers,7,2,2,0.778,108.0,39.0,69.0,7 - 1 - 2,0 - 1 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1925
14,New York GiantsGiants,7,4,0,0.636,113.0,67.0,46.0,7 - 2 - 0,0 - 2 - 0,- -,,- -,,- -,1L,4 - 1 - 0,1925
15,Green Bay PackersPackers,8,5,0,0.615,151.0,110.0,41.0,6 - 0 - 0,2 - 5 - 0,- -,,- -,,- -,1W,2 - 3 - 0,1925
16,Arizona CardinalsCardinals,9,2,1,0.818,158.0,65.0,93.0,9 - 2 - 0,0 - 0 - 1,- -,,- -,,- -,1L,3 - 1 - 1,1925
17,Chicago BearsBears,9,2,3,0.818,152.0,57.0,95.0,7 - 0 - 1,2 - 2 - 2,- -,,- -,,- -,3W,4 - 0 - 1,1925
18,Boston BulldogsMaroons,10,2,0,0.833,270.0,45.0,225.0,8 - 1 - 0,2 - 1 - 0,- -,,- -,,- -,5W,5 - 0 - 0,1925
19,Frankford Yellow JacketsYellow Jackets,11,6,0,0.647,163.0,153.0,10.0,9 - 2 - 0,2 - 4 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1925
0,Hammond ProsPros,0,4,0,0.0,3.0,56.0,-53.0,0 - 1 - 0,0 - 3 - 0,- -,,- -,,- -,4L,0 - 4 - 0,1926
1,Louisville ColonelsColonels,0,4,0,0.0,0.0,108.0,-108.0,0 - 0 - 0,0 - 4 - 0,- -,,- -,,- -,4L,0 - 4 - 0,1926
2,Akron IndiansIndians,1,4,3,0.2,23.0,89.0,-66.0,1 - 0 - 1,0 - 4 - 2,- -,,- -,,- -,1T,0 - 3 - 2,1926
3,Canton BulldogsBulldogs,1,8,3,0.111,46.0,126.0,-80.0,1 - 3 - 1,0 - 5 - 2,- -,,- -,,- -,1T,0 - 4 - 1,1926
4,Columbus TigersTigers,1,6,0,0.143,26.0,93.0,-67.0,0 - 1 - 0,1 - 5 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1926
5,Dayton TrianglesTriangles,1,4,1,0.2,15.0,82.0,-67.0,0 - 1 - 0,1 - 3 - 1,- -,,- -,,- -,2L,0 - 4 - 1,1926
6,Racine TornadoesTornadoes,1,4,0,0.2,8.0,92.0,-84.0,1 - 2 - 0,0 - 2 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1926
7,Milwaukee BadgersBadgers,2,7,0,0.222,41.0,66.0,-25.0,1 - 5 - 0,1 - 2 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1926
8,Hartford BluesBlues,3,7,0,0.3,57.0,99.0,-42.0,3 - 5 - 0,0 - 2 - 0,- -,,- -,,- -,1L,2 - 3 - 0,1926
9,Staten Island StapletonsLions,3,7,0,0.3,60.0,123.0,-63.0,3 - 4 - 0,0 - 3 - 0,- -,,- -,,- -,2L,1 - 4 - 0,1926
10,Buffalo BisonsRangers,4,4,1,0.5,53.0,62.0,-9.0,2 - 2 - 1,2 - 2 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1926
11,Detroit PanthersPanthers,4,5,2,0.444,107.0,53.0,54.0,4 - 2 - 2,0 - 3 - 0,- -,,- -,,- -,2L,1 - 2 - 2,1926
12,Arizona CardinalsCardinals,5,5,1,0.5,72.0,91.0,-19.0,3 - 1 - 0,2 - 4 - 1,- -,,- -,,- -,1T,0 - 4 - 1,1926
13,Kansas City CowboysCowboys,5,3,0,0.625,50.0,41.0,9.0,0 - 0 - 0,5 - 3 - 0,- -,,- -,,- -,4W,4 - 1 - 0,1926
14,Providence Steam RollerSteam Roller,5,6,0,0.455,89.0,79.0,10.0,4 - 4 - 0,1 - 2 - 0,- -,,- -,,- -,3L,1 - 4 - 0,1926
15,Green Bay PackersPackers,6,3,2,0.667,141.0,58.0,83.0,4 - 1 - 2,2 - 2 - 0,- -,,- -,,- -,2L,3 - 2 - 0,1926
16,Los Angeles BuccaneersBuccaneers,6,2,1,0.75,64.0,50.0,14.0,0 - 0 - 0,6 - 2 - 1,- -,,- -,,- -,3W,4 - 1 - 0,1926
17,Newark TornadoesEskimos,6,4,2,0.6,106.0,69.0,37.0,1 - 0 - 0,5 - 4 - 2,- -,,- -,,- -,2W,2 - 3 - 0,1926
18,New York GiantsGiants,7,4,1,0.636,120.0,51.0,69.0,4 - 2 - 1,3 - 2 - 0,- -,,- -,,- -,2W,4 - 1 - 0,1926
19,Boston BulldogsMaroons,10,1,0,0.909,148.0,20.0,128.0,9 - 0 - 0,1 - 1 - 0,- -,,- -,,- -,6W,5 - 0 - 0,1926
20,Chicago BearsBears,10,0,2,1.0,163.0,46.0,117.0,8 - 0 - 1,2 - 0 - 1,- -,,- -,,- -,1T,4 - 0 - 1,1926
21,Frankford Yellow JacketsYellow Jackets,12,1,1,0.923,205.0,43.0,162.0,9 - 1 - 1,3 - 0 - 0,- -,,- -,,- -,6W,5 - 0 - 0,1926
0,Buffalo BisonsBisons,0,5,0,0.0,8.0,123.0,-115.0,0 - 2 - 0,0 - 3 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1927
1,Dayton TrianglesTriangles,1,6,1,0.143,15.0,57.0,-42.0,0 - 1 - 0,1 - 5 - 1,- -,,- -,,- -,4L,0 - 4 - 1,1927
2,Newark TornadoesEskimos,1,5,0,0.167,54.0,81.0,-27.0,0 - 0 - 0,1 - 5 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1927
3,Arizona CardinalsCardinals,3,6,1,0.333,62.0,102.0,-40.0,2 - 2 - 1,1 - 4 - 0,- -,,- -,,- -,1W,1 - 3 - 1,1927
4,Boston BulldogsMaroons,5,7,0,0.417,80.0,143.0,-63.0,4 - 3 - 0,1 - 4 - 0,- -,,- -,,- -,2W,3 - 2 - 0,1927
5,Frankford Yellow JacketsYellow Jackets,5,8,1,0.385,140.0,151.0,-11.0,4 - 4 - 1,1 - 4 - 0,- -,,- -,,- -,1L,2 - 3 - 0,1927
6,Providence Steam RollerSteam Roller,5,5,1,0.5,62.0,81.0,-19.0,4 - 3 - 0,1 - 2 - 1,- -,,- -,,- -,2L,1 - 3 - 1,1927
7,Cleveland BulldogsBulldogs,6,4,1,0.6,157.0,100.0,57.0,3 - 1 - 1,3 - 3 - 0,- -,,- -,,- -,3W,4 - 1 - 0,1927
8,Chicago BearsBears,7,2,1,0.778,106.0,71.0,35.0,5 - 1 - 1,2 - 1 - 0,- -,,- -,,- -,1L,2 - 2 - 1,1927
9,Green Bay PackersPackers,7,2,1,0.778,113.0,43.0,70.0,6 - 1 - 0,1 - 1 - 1,- -,,- -,,- -,1W,3 - 1 - 1,1927
10,Staten Island StapletonsYankees,7,4,0,0.636,129.0,118.0,11.0,2 - 1 - 0,5 - 3 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1927
11,New York GiantsGiants,8,1,1,0.889,157.0,13.0,144.0,5 - 1 - 0,3 - 0 - 1,- -,,- -,,- -,6W,5 - 0 - 0,1927
0,Dayton TrianglesTriangles,0,7,0,0.0,9.0,131.0,-122.0,0 - 0 - 0,0 - 7 - 0,- -,,- -,,- -,7L,0 - 5 - 0,1928
1,Arizona CardinalsCardinals,1,5,0,0.167,7.0,107.0,-100.0,1 - 1 - 0,0 - 4 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1928
2,Boston BulldogsMaroons,2,8,0,0.2,74.0,134.0,-60.0,2 - 4 - 0,0 - 4 - 0,- -,,- -,,- -,1L,1 - 4 - 0,1928
3,New York GiantsGiants,4,7,2,0.364,79.0,136.0,-57.0,1 - 2 - 2,3 - 5 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1928
4,Staten Island StapletonsYankees,4,8,1,0.333,103.0,179.0,-76.0,2 - 4 - 0,2 - 4 - 1,- -,,- -,,- -,1W,3 - 2 - 0,1928
5,Green Bay PackersPackers,6,4,3,0.6,120.0,92.0,28.0,2 - 2 - 2,4 - 2 - 1,- -,,- -,,- -,1W,2 - 2 - 1,1928
6,Chicago BearsBears,7,5,1,0.583,182.0,85.0,97.0,6 - 3 - 0,1 - 2 - 1,- -,,- -,,- -,2L,2 - 3 - 0,1928
7,Detroit WolverinesWolverines,7,2,1,0.778,189.0,76.0,113.0,4 - 0 - 0,3 - 2 - 1,- -,,- -,,- -,4W,4 - 0 - 1,1928
8,Providence Steam RollerSteam Roller,8,1,2,0.889,128.0,42.0,86.0,6 - 1 - 1,2 - 0 - 1,- -,,- -,,- -,1T,3 - 0 - 2,1928
9,Frankford Yellow JacketsYellow Jackets,11,3,2,0.786,175.0,84.0,91.0,8 - 1 - 1,3 - 2 - 1,- -,,- -,,- -,2W,4 - 1 - 0,1928
0,Dayton TrianglesTriangles,0,6,0,0.0,7.0,136.0,-129.0,0 - 0 - 0,0 - 6 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1929
1,Buffalo BisonsBisons,1,7,1,0.125,48.0,142.0,-94.0,0 - 4 - 0,1 - 3 - 1,- -,,- -,,- -,1W,1 - 3 - 1,1929
2,Minneapolis Red JacketsRed Jackets,1,9,0,0.1,48.0,185.0,-137.0,1 - 3 - 0,0 - 6 - 0,- -,,- -,,- -,7L,0 - 5 - 0,1929
3,Newark TornadoesTornadoes,2,3,4,0.4,32.0,54.0,-22.0,1 - 0 - 2,1 - 3 - 2,- -,,- -,,- -,1T,1 - 2 - 2,1929
4,Staten Island StapletonsStapletons,3,2,3,0.6,82.0,41.0,41.0,3 - 1 - 2,0 - 1 - 1,- -,,- -,,- -,2W,2 - 1 - 2,1929
5,Arizona CardinalsCardinals,4,5,1,0.444,67.0,53.0,14.0,2 - 2 - 0,2 - 3 - 1,- -,,- -,,- -,1W,3 - 2 - 0,1929
6,Boston BulldogsBulldogs,4,4,0,0.5,98.0,73.0,25.0,4 - 1 - 0,0 - 3 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1929
7,Chicago BearsBears,4,6,1,0.4,104.0,148.0,-44.0,1 - 3 - 1,3 - 3 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1929
8,Providence Steam RollerSteam Roller,4,5,2,0.444,107.0,92.0,15.0,4 - 3 - 1,0 - 2 - 1,- -,,- -,,- -,2W,2 - 3 - 0,1929
9,New York GiantsGiants,8,1,1,0.889,210.0,49.0,161.0,5 - 1 - 0,3 - 0 - 1,- -,,- -,,- -,1L,4 - 1 - 0,1929
10,Frankford Yellow JacketsYellow Jackets,9,2,3,0.818,129.0,85.0,44.0,6 - 0 - 2,3 - 2 - 1,- -,,- -,,- -,1W,4 - 0 - 1,1929
11,Green Bay PackersPackers,10,0,0,1.0,148.0,22.0,126.0,5 - 0 - 0,5 - 0 - 0,- -,,- -,,- -,10W,5 - 0 - 0,1929
0,Minneapolis Red JacketsRed Jackets,1,5,1,0.167,27.0,113.0,-86.0,1 - 2 - 1,0 - 3 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1930
1,Newark TornadoesTornadoes,1,10,1,0.091,51.0,190.0,-139.0,0 - 5 - 1,1 - 5 - 0,- -,,- -,,- -,6L,0 - 5 - 0,1930
2,Staten Island StapletonsStapletons,3,4,2,0.429,75.0,69.0,6.0,2 - 1 - 1,1 - 3 - 1,- -,,- -,,- -,1T,1 - 3 - 1,1930
3,Detroit LionsSpartans,4,5,2,0.444,122.0,141.0,-19.0,4 - 1 - 1,0 - 4 - 1,- -,,- -,,- -,1L,0 - 4 - 1,1930
4,Frankford Yellow JacketsYellow Jackets,4,10,1,0.286,94.0,269.0,-175.0,3 - 3 - 0,1 - 7 - 1,- -,,- -,,- -,1W,2 - 2 - 1,1930
5,Arizona CardinalsCardinals,5,5,2,0.5,128.0,126.0,2.0,3 - 2 - 0,2 - 3 - 2,- -,,- -,,- -,1W,4 - 1 - 0,1930
6,Chicago BearsBears,5,4,1,0.556,115.0,59.0,56.0,2 - 2 - 1,3 - 2 - 0,- -,,- -,,- -,1W,3 - 2 - 0,1930
7,New York YankeesDodgers,5,2,1,0.714,114.0,22.0,92.0,2 - 0 - 0,3 - 2 - 1,- -,,- -,,- -,1W,4 - 1 - 0,1930
8,Providence Steam RollerSteam Roller,5,3,1,0.625,68.0,92.0,-24.0,5 - 1 - 1,0 - 2 - 0,- -,,- -,,- -,1T,2 - 2 - 1,1930
9,Green Bay PackersPackers,8,1,0,0.889,160.0,57.0,103.0,6 - 0 - 0,2 - 1 - 0,- -,,- -,,- -,1L,4 - 1 - 0,1930
10,New York GiantsGiants,10,2,0,0.833,256.0,72.0,184.0,5 - 1 - 0,5 - 1 - 0,- -,,- -,,- -,1L,4 - 1 - 0,1930
0,Frankford Yellow JacketsYellow Jackets,1,6,1,0.143,13.0,99.0,-86.0,0 - 3 - 0,1 - 3 - 1,- -,,- -,,- -,2L,1 - 4 - 0,1931
1,Cleveland IndiansIndians,2,8,0,0.2,45.0,137.0,-92.0,1 - 1 - 0,1 - 7 - 0,- -,,- -,,- -,5L,0 - 5 - 0,1931
2,New York YankeesDodgers,2,12,0,0.143,64.0,199.0,-135.0,1 - 5 - 0,1 - 7 - 0,- -,,- -,,- -,8L,0 - 5 - 0,1931
3,Providence Steam RollerSteam Roller,4,4,3,0.5,78.0,127.0,-49.0,3 - 3 - 1,1 - 1 - 2,- -,,- -,,- -,1T,3 - 1 - 1,1931
4,Staten Island StapletonsStapletons,4,6,1,0.4,79.0,118.0,-39.0,4 - 1 - 1,0 - 5 - 0,- -,,- -,,- -,2W,2 - 3 - 0,1931
5,Arizona CardinalsCardinals,5,4,0,0.556,120.0,128.0,-8.0,3 - 0 - 0,2 - 4 - 0,- -,,- -,,- -,1W,4 - 1 - 0,1931
6,New York GiantsGiants,6,6,1,0.5,129.0,94.0,35.0,4 - 2 - 1,2 - 4 - 0,- -,,- -,,- -,1W,1 - 3 - 1,1931
7,Chicago BearsBears,8,4,0,0.667,139.0,67.0,72.0,6 - 2 - 0,2 - 2 - 0,- -,,- -,,- -,1W,4 - 1 - 0,1931
8,Detroit LionsSpartans,11,3,0,0.786,175.0,77.0,98.0,8 - 0 - 0,3 - 3 - 0,- -,,- -,,- -,1W,3 - 2 - 0,1931
9,Green Bay PackersPackers,12,2,0,0.857,291.0,87.0,204.0,8 - 0 - 0,4 - 2 - 0,- -,,- -,,- -,1L,3 - 2 - 0,1931
0,Arizona CardinalsCardinals,2,6,2,0.25,72.0,114.0,-42.0,1 - 2 - 1,1 - 4 - 1,- -,,- -,,- -,5L,0 - 5 - 0,1932
1,Staten Island StapletonsStapletons,2,7,3,0.222,77.0,173.0,-96.0,1 - 3 - 3,1 - 4 - 0,- -,,- -,,- -,1L,1 - 3 - 1,1932
2,New York YankeesDodgers,3,9,0,0.25,63.0,131.0,-68.0,1 - 5 - 0,2 - 4 - 0,- -,,- -,,- -,4L,1 - 4 - 0,1932
3,New York GiantsGiants,4,6,2,0.4,93.0,113.0,-20.0,3 - 2 - 1,1 - 4 - 1,- -,,- -,,- -,1L,3 - 1 - 1,1932
4,Washington CommandersBraves,4,4,2,0.5,55.0,79.0,-24.0,2 - 3 - 1,2 - 1 - 1,- -,,- -,,- -,2W,3 - 2 - 0,1932
5,Detroit LionsSpartans,6,2,4,0.75,116.0,71.0,45.0,3 - 0 - 2,3 - 2 - 2,- -,,- -,,- -,1L,2 - 1 - 2,1932
6,Chicago BearsBears,7,1,6,0.875,160.0,44.0,116.0,6 - 1 - 1,1 - 0 - 5,- -,,- -,,- -,3W,4 - 0 - 1,1932
7,Green Bay PackersPackers,10,3,1,0.769,152.0,63.0,89.0,5 - 0 - 1,5 - 3 - 0,- -,,- -,,- -,2L,2 - 3 - 0,1932
0,Arizona CardinalsCardinals,1,9,1,0.1,52.0,101.0,-49.0,0 - 4 - 1,1 - 5 - 0,1 - 5 - 0,0.167,1 - 9 - 1,0.1,0 - 0 - 0,1T,0 - 4 - 1,1933
